time,msg
2020-01-01 22:43:29, Memory #0xe2 | Correctable ECC logging limit reached | Asserted
2020-01-02 01:30:01, Memory #0x87 | Correctable ECC | Asserted
2020-01-02 01:32:03, System Firmware Error #0x9e | Unknown Error | Asserted
2020-01-02 01:34:59, Memory #0x87 | Correctable ECC | Asserted
2020-01-02 01:36:36, Memory #0x87 | Correctable ECC | Asserted
2020-01-02 02:34:24, Memory DIMM020 | Presence Detected | Deasserted
2020-01-02 02:45:47, Drive Slot DISK8 | Drive Present | Asserted
2020-01-02 03:42:00, Memory #0xe2 | Correctable ECC | Asserted
2020-01-02 04:03:43, System Event #0xff | Timestamp Clock Sync | Asserted
2020-01-02 05:39:46, Drive Slot HDD69 | Drive Present | Asserted
2020-01-02 05:42:41, Power Unit Pwr Unit Status | Power off/down | Asserted
2020-01-02 05:46:31, Power Unit Pwr Unit Status | Power off/down | Asserted
2020-01-02 05:48:55, Drive Slot HDD54 | Drive Present | Asserted
2020-01-02 06:09:35, Drive Slot HDD31 | Drive Present | Asserted
2020-01-02 07:06:20, Memory #0x87 | Correctable ECC | Asserted
2020-01-02 11:06:05, Memory #0xf9 | Correctable ECC | Asserted
2020-01-02 11:07:12, Memory #0xf9 | Correctable ECC | Asserted
2020-01-02 11:55:27, Memory #0xf9 | Correctable ECC | Asserted
2020-01-02 11:57:04, Memory #0xf9 | Correctable ECC | Asserted
2020-01-02 11:57:31, Memory #0xf9 | Correctable ECC | Asserted
2020-01-02 12:03:44, Memory #0xf9 | Correctable ECC | Asserted
2020-01-02 14:42:24, Memory #0xe2 | Correctable ECC logging limit reached | Asserted
2020-01-02 15:36:28, Memory #0xf9 | Memory Device Disabled | Asserted
2020-01-02 15:51:00, Button Button_Pressed | State Asserted | Asserted
2020-01-02 16:39:15, Memory Memory_Status | Correctable ECC | Asserted
2020-01-02 16:41:16, Memory Memory_Status | Correctable ECC | Asserted
2020-01-02 18:39:46, Memory #0xf9 | Correctable ECC | Asserted
2020-01-02 19:07:17, System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted
2020-01-02 19:32:59, Processor CPU0_Status | Uncorrectable machine check exception | Asserted
2020-01-02 20:55:10, Processor CPU0_PROC_Hot | State Asserted | Asserted
2020-01-03 00:58:28, Processor CPU0_PROC_Hot | State Asserted | Asserted
2020-01-03 02:09:46, Memory CPU1D0_DIMM_Stat | Correctable ECC | Deasserted
2020-01-03 02:51:15, System ACPI Power State ACPI_PWR_Status�Tota | S0/G0: working | Asserted
2020-01-03 03:47:40, Processor CPU0_PROC_Hot | State Asserted | Asserted
2020-01-03 10:29:27, System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted
2020-01-03 10:50:49, Power Supply PS2_Status | Power Supply AC lost | Deasserted
2020-01-03 10:51:50, System Firmwares POST Error | Unknown Error | Asserted
2020-01-03 10:51:52, OEM record c1 | 001c4c | 301c60000000
2020-01-03 10:58:01, System Firmwares POST Error | Unknown Error | Asserted
2020-01-03 10:58:37, Memory Memory_Status | Correctable ECC | Asserted
2020-01-03 11:33:44, System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted
2020-01-03 12:23:17, System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted
2020-01-03 12:40:46, Memory CPU0E0_DIMM_Stat | Correctable ECC | Asserted
2020-01-03 12:43:26, Memory CPU0E0_DIMM_Stat | Correctable ECC | Asserted
2020-01-03 12:43:52, Memory CPU0E0_DIMM_Stat | Correctable ECC | Asserted
2020-01-03 12:44:12, Memory CPU0E0_DIMM_Stat | Correctable ECC | Asserted
2020-01-03 13:31:23, Memory #0x97 | Correctable ECC | Asserted
2020-01-03 13:31:32, Memory #0x97 | Correctable ECC | Asserted
2020-01-03 16:21:30, Memory #0xe2 | Correctable ECC (@DIMM@0(CPU1)) | Asserted
2020-01-03 16:50:24, Memory #0xe2 | Correctable ECC (@DIMM@0(CPU1)) | Asserted
2020-01-03 18:55:34, System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted
2020-01-03 21:59:56, System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted
2020-01-04 00:27:28, Drive Slot / Bay HDD_R_18_Status | Drive Fault | Asserted
2020-01-04 00:27:43, Drive Slot / Bay HDD_R_18_Status | Drive Fault | Asserted
2020-01-04 00:31:11, Drive Slot / Bay HDD_R_18_Status | Drive Fault | Deasserted
2020-01-04 01:03:04, Memory #0xe2 | Correctable ECC | Asserted
2020-01-04 01:03:09, Memory #0xe2 | Correctable ECC | Asserted
2020-01-04 01:22:07, Processor CPU_CATERR | Uncorrectable machine check exception | Asserted
2020-01-04 07:42:48, Memory CPU1E0_DIMM_Stat | Memory Device Disabled | Asserted
2020-01-04 09:08:35, Unknown SPS FW Health |
2020-01-04 09:11:11, System Boot Initiated #0xe0 | Initiated by power up | Asserted
2020-01-04 10:23:49, Memory #0xf9 | Correctable ECC | Asserted
2020-01-04 10:48:39, Event Logging Disabled SEL_Status | Log almost full | Asserted
2020-01-04 13:35:30, OS Boot BIOS_Boot_Up | boot completed - device not specified | Asserted
2020-01-04 14:48:36, System Boot Initiated System Restart | System Restart | Asserted
2020-01-04 14:52:45, Event Logging Disabled SEL_Status | Log area reset/cleared | Asserted
2020-01-04 16:12:22, Memory CPU1E1_DIMM_Stat | Correctable ECC | Asserted
2020-01-04 17:12:14, Processor CPU0_Status | Uncorrectable machine check exception | Asserted
2020-01-04 18:10:50, Memory #0xe2 | Correctable ECC logging limit reached | Asserted
2020-01-04 20:32:13, Memory #0xe2 | Correctable ECC | Asserted
2020-01-04 20:35:30, Memory #0xe2 | Correctable ECC | Asserted
2020-01-05 00:17:27, Memory #0xf9 | Correctable ECC | Asserted
2020-01-05 00:18:19, Memory #0xf9 | Correctable ECC | Asserted
2020-01-05 07:13:40, Memory MEM_CHG0_Status | Correctable ECC | Asserted
2020-01-05 14:05:26, System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted
2020-01-05 14:35:54, OS Boot #0xe9 | boot completed - device not specified | Asserted
2020-01-05 14:44:29, Memory #0xf9 | Correctable ECC | Asserted
2020-01-05 15:09:53, Memory CPU1A0_DIMM_Stat | Correctable ECC | Deasserted
2020-01-05 15:11:26, Memory #0xf9 | Memory Device Disabled | Asserted
2020-01-05 16:08:03, Microcontroller/Coprocessor #0x16 | Transition to Running | Asserted
2020-01-05 22:17:02, System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted
2020-01-06 00:52:19, Power Unit Pwr Unit Status | Power off/down | Asserted
2020-01-06 16:07:50, OS Boot #0xe9 | boot completed - device not specified | Asserted
2020-01-06 16:12:52, Memory DIMM100 | Presence Detected | Deasserted
2020-01-06 23:14:20, Memory #0xe2 | Correctable ECC | Asserted
2020-01-07 04:35:50, Memory #0xe2 | Correctable ECC | Asserted
2020-01-07 04:36:17, Memory #0xe2 | Correctable ECC | Asserted
2020-01-07 05:37:28, System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted
2020-01-07 05:47:32, Memory CPU0A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-07 06:11:53, Memory CPU0A0_DIMM_Stat | Correctable ECC | Asserted
2020-01-07 06:11:54, Memory CPU0A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-07 06:12:07, Memory CPU0A0_DIMM_Stat | Correctable ECC | Asserted
2020-01-07 06:12:09, Memory CPU0A0_DIMM_Stat | Correctable ECC | Asserted
2020-01-07 06:12:46, Memory CPU0A0_DIMM_Stat | Correctable ECC | Asserted
2020-01-07 06:13:05, Memory CPU0A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-07 06:13:54, Memory CPU0A0_DIMM_Stat | Correctable ECC | Asserted
2020-01-07 07:48:03, Memory MEM_CHH0_Status | Correctable ECC | Asserted
2020-01-07 07:49:00, Memory MEM_CHH0_Status | Correctable ECC | Asserted
2020-01-07 07:52:49, Memory CPU0A0_DIMM_Stat | Correctable ECC | Asserted
2020-01-07 07:53:05, Memory CPU0A0_DIMM_Stat | Correctable ECC | Asserted
2020-01-07 11:42:20, System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted
2020-01-07 19:02:38, Processor CPU_CATERR | Uncorrectable machine check exception | Asserted
2020-01-07 19:07:40, Temperature DIMMG1_Temp | Upper Critical going high | Asserted | Reading 105 &gt; Threshold 85 degrees C
2020-01-07 19:16:15, Temperature Temp_DIMM_DEF | Upper Non-critical going high | Deasserted | Reading 66 &gt; Threshold 84 degrees C
2020-01-07 19:18:28, Temperature Temp_DIMM_KLM | Upper Non-critical going high | Asserted | Reading 93 &gt; Threshold 84 degrees C
2020-01-07 19:23:17, Temperature Temp_DIMM_DEF | Upper Critical going high | Asserted | Reading 94 &gt; Threshold 85 degrees C
2020-01-07 19:24:40, Temperature DIMMG0_Temp | Upper Critical going high | Deasserted | Reading 58 &gt; Threshold 85 degrees C
2020-01-07 22:49:35, System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted
2020-01-07 23:01:53, Watchdog2 IPMI_Watchdog | Hard reset | Asserted
2020-01-07 23:02:09, Processor CPU_CATERR | State Asserted | Asserted
2020-01-08 13:06:10, Memory #0xe2 | Correctable ECC | Asserted
2020-01-08 13:33:01, Memory #0x87 | Correctable ECC | Asserted
2020-01-08 17:27:29, Memory CPU0E0_DIMM_Stat | Correctable ECC | Asserted
2020-01-08 17:27:52, Memory CPU0E0_DIMM_Stat | Correctable ECC | Asserted
2020-01-08 23:45:36, Memory CPU0B0_DIMM_Stat | Correctable ECC | Asserted
2020-01-08 23:49:49, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 00:13:54, Memory CPU0B0_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 00:21:52, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 01:41:19, Memory CPU0B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 01:58:40, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 02:34:15, Memory | Correctable ECC | Asserted | CPU 0 DIMM 8
2020-01-09 02:34:16, Memory | Correctable ECC | Asserted | CPU 0 DIMM 8
2020-01-09 02:34:18, Memory | Correctable ECC (@DIMM1A(CPU1)) | Asserted
2020-01-09 02:34:36, Memory | Correctable ECC (@DIMM1A(CPU1)) | Asserted
2020-01-09 02:34:36, Memory | Correctable ECC | Asserted | CPU 0 DIMM 8
2020-01-09 02:34:37, Memory | Correctable ECC | Asserted | CPU 0 DIMM 8
2020-01-09 02:34:51, Memory | Correctable ECC | Asserted | CPU 0 DIMM 8
2020-01-09 02:35:02, Memory | Correctable ECC | Asserted | CPU 0 DIMM 8
2020-01-09 02:35:10, Memory | Correctable ECC (@DIMM1A(CPU1)) | Asserted
2020-01-09 02:35:12, Memory | Correctable ECC (@DIMM1A(CPU1)) | Asserted
2020-01-09 02:35:39, Memory | Correctable ECC (@DIMM1A(CPU1)) | Asserted
2020-01-09 02:40:28, Memory #0xe2 | Correctable ECC | Asserted
2020-01-09 02:40:41, Memory #0xe2 | Correctable ECC | Asserted
2020-01-09 02:41:08, Memory #0xe2 | Correctable ECC | Asserted
2020-01-09 02:42:52, Memory CPU0B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 04:18:54, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 05:24:56, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 05:33:00, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 05:44:08, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 06:36:22, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 07:00:30, Memory CPU0B0_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 07:23:43, Memory CPU0B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 07:30:24, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 07:41:07, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 07:55:50, Memory CPU0B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 08:25:51, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 08:27:49, Memory CPU0B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 08:46:02, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 09:35:16, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 09:42:53, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 09:47:03, Processor CPU1_Status | Configuration Error | Asserted
2020-01-09 09:49:43, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 10:11:38, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 10:20:01, Memory CPU0B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 10:26:41, Memory CPU0B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 10:40:51, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 10:53:43, Memory CPU0B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 10:54:07, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 11:03:13, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 11:35:15, Memory CPU0B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 11:36:34, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 11:42:25, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 11:54:20, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 11:57:46, Memory CPU0B0_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 12:09:10, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 12:16:03, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 12:37:29, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 12:59:20, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 13:11:03, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 13:33:49, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 13:36:52, Memory CPU0B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 14:09:37, Memory #0xf9 | Correctable ECC | Asserted
2020-01-09 14:17:37, Memory CPU0B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 14:55:22, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 15:13:32, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 15:22:26, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 15:45:24, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 16:26:09, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 16:33:34, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 16:41:38, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 16:58:18, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 17:20:27, Processor CPU_CATERR | State Asserted | Asserted
2020-01-09 17:31:29, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 17:34:43, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 17:41:16, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 17:56:38, Memory CPU0B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 18:18:05, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 18:31:29, Memory #0xe2 | Correctable ECC | Asserted
2020-01-09 18:31:35, Memory #0xe2 | Uncorrectable ECC | Asserted
2020-01-09 18:32:41, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 18:33:11, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 18:46:06, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 19:48:13, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 19:50:34, Memory CPU0B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 19:52:10, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 19:55:01, Memory CPU0B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 20:36:09, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 21:00:16, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 21:00:51, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 21:18:46, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 21:21:46, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 21:37:02, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 21:40:00, Memory CPU1B1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 21:57:28, Memory CPU1B1_DIMM_Stat | Memory Device Disabled | Asserted
2020-01-09 21:57:31, Memory CPU1B1_DIMM_Stat | Memory Device Disabled | Asserted
2020-01-09 21:57:45, Memory CPU1B1_DIMM_Stat | Memory Device Disabled | Asserted
2020-01-09 21:59:13, Memory CPU1B1_DIMM_Stat | Memory Device Disabled | Asserted
2020-01-09 21:59:16, Memory CPU1B1_DIMM_Stat | Memory Device Disabled | Asserted
2020-01-09 23:09:06, Memory #0xe2 | Correctable ECC | Asserted
2020-01-09 23:41:11, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 23:41:56, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 23:50:05, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 23:50:10, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 23:50:20, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 23:50:24, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 23:54:10, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 23:56:00, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-09 23:59:39, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:00:27, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:02:53, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:03:49, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:08:56, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:10:13, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:12:34, System Boot Initiated BIOS_Boot_UP | Initiated by power up | Asserted
2020-01-10 00:12:40, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:13:03, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:13:08, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:13:29, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:13:44, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:16:16, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:19:24, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:21:30, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:21:39, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:24:14, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:26:02, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:26:57, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:29:52, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:35:37, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:37:39, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:43:07, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:43:37, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:52:08, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:54:37, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 00:58:35, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 01:00:11, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 01:01:23, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 01:02:56, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 01:03:18, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 01:09:03, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 01:15:07, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 01:19:20, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 01:28:00, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 01:28:13, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 01:29:32, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 01:31:34, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 01:32:35, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 01:33:02, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 01:35:16, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 01:48:03, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 01:52:12, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 01:53:22, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 01:58:37, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 02:00:34, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 02:00:43, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 02:01:28, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 02:05:32, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 02:05:40, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 02:08:57, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 02:10:26, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 02:10:57, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 02:11:00, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 02:11:20, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 02:12:45, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 02:14:28, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 02:19:27, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 02:20:19, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 02:21:11, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 02:27:41, Memory CPU1A1_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 02:28:43, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
2020-01-10 02:30:59, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted
